target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
115000019,2026/03/05,07 11 14 32 36 38,02,06 11 14 34 35 37,02,11 14,2,1,3,1,4,3-3,2-4,3-3,3-3,137,138,31,31,2,1,50.0286,37 11 35,"second_hit,run_pattern_mismatch"
115000020,2026/03/09,01 11 14 17 29 32,08,07 11 14 32 35 37,02,11 14 32,3,0,3,0,3,4-2,4-2,3-3,4-2,136,104,30,31,1,1,53.0356,11 14 37,"main_good_hit,second_miss,sum_gap_large"
115000021,2026/03/12,04 09 15 25 27 31,08,07 11 14 32 35 37,02,,0,0,0,0,0,4-2,5-1,3-3,3-3,136,111,30,27,1,1,54.4865,11 14 32,"main_zero_hit,second_miss,sum_gap_large"
115000022,2026/03/16,14 26 28 31 32 34,01,07 09 11 14 32 37,02,14 32,2,0,2,0,2,4-2,1-5,4-2,1-5,110,165,30,20,1,2,53.1427,11 14 32,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
115000023,2026/03/19,09 13 14 18 31 34,01,07 11 14 32 34 37,02,14 34,2,0,3,0,3,3-3,3-3,3-3,4-2,135,119,30,25,1,2,54.193,14 32 11,"second_miss,run_pattern_mismatch"
115000024,2026/03/23,01 09 18 28 33 38,05,09 11 14 31 32 34,02,09,1,0,1,0,1,3-3,3-3,3-3,3-3,131,127,25,37,2,2,56.1903,14 32 11,"main_one_hit,second_miss,spread_gap_large"
115000025,2026/03/26,13 14 22 28 35 38,05,09 11 14 31 32 34,02,14,1,0,2,0,2,3-3,2-4,3-3,2-4,131,150,25,25,2,2,55.5466,14 09 32,"main_one_hit,second_miss"
115000026,2026/03/30,02 13 21 22 29 34,01,09 11 14 32 34 38,05,34,1,0,1,0,1,2-4,3-3,3-3,2-4,138,121,29,32,1,2,56.2984,14 09 32,"main_one_hit,second_miss,run_pattern_mismatch"
115000027,2026/04/02,05 15 17 23 25 34,06,09 11 14 32 34 38,05,34,1,0,1,0,1,2-4,5-1,3-3,3-3,138,119,29,29,1,1,55.6515,14 34 09,"main_one_hit,second_miss,odd_even_bias"
115000028,2026/04/06,05 08 22 27 35 38,04,09 11 14 32 34 38,05,38,1,0,1,0,1,2-4,3-3,3-3,2-4,138,135,29,33,1,1,55.0239,14 34 09,"main_one_hit,second_miss"
115000029,2026/04/09,04 09 13 27 29 34,03,09 14 32 34 35 38,05,09 34,2,0,2,0,2,2-4,4-2,2-4,3-3,162,116,29,30,2,1,54.6407,14 34 38,"second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
115000030,2026/04/13,03 10 11 16 19 24,05,09 14 32 34 35 38,05,,0,1,1,1,2,2-4,3-3,2-4,5-1,162,83,29,21,2,2,55.0435,34 14 09,"main_zero_hit,second_hit,low_high_bias,sum_gap_large"
115000031,2026/04/16,04 11 16 22 30 38,06,09 11 14 34 35 38,05,11 38,2,0,3,0,3,3-3,1-5,3-3,3-3,141,121,29,34,2,1,55.2336,34 14 09,"second_miss,run_pattern_mismatch,odd_even_bias"
115000032,2026/04/20,07 13 19 34 35 37,08,09 11 14 22 34 38,05,34,1,0,2,0,2,2-4,5-1,3-3,3-3,128,145,29,30,1,2,56.1006,34 14 11,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000033,2026/04/23,10 14 15 16 27 33,05,09 11 14 34 35 38,05,14,1,1,1,1,2,3-3,3-3,3-3,4-2,141,115,29,23,2,3,55.992,34 14 11,"main_one_hit,second_hit,run_pattern_mismatch,sum_gap_large"
115000034,2026/04/27,06 08 27 33 35 38,02,09 11 14 34 35 38,05,35 38,2,0,3,0,3,3-3,3-3,3-3,2-4,141,147,29,32,2,1,56.3543,34 14 11,"second_miss,run_pattern_mismatch"
115000035,2026/04/30,01 04 13 19 27 30,08,11 14 27 34 35 38,05,27,1,0,1,0,1,3-3,4-2,2-4,4-2,159,94,27,29,2,1,57.4664,34 14 38,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
