target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
115000010,2026/02/02,01 12 14 15 27 29,05,01 03 06 15 24 38,05,01 15,2,1,2,1,3,3-3,4-2,4-2,4-2,87,98,37,28,2,2,1911.4,24 15 06,second_hit
115000011,2026/02/05,07 22 28 34 36 37,07,03 04 07 22 24 26,05,07 22,2,0,2,0,2,2-4,2-4,3-3,1-5,86,164,23,30,2,2,1948.4,22 24 07,"second_miss,low_high_bias,sum_gap_large"
115000012,2026/02/09,13 14 16 33 34 37,02,08 11 14 24 29 38,02,14,1,1,1,1,2,2-4,3-3,3-3,3-3,124,147,30,24,1,2,1902.4,38 08 24,"main_one_hit,second_hit,run_pattern_mismatch"
115000013,2026/02/12,06 10 22 25 32 35,03,04 08 24 26 29 35,05,35,1,0,1,0,1,2-4,2-4,2-4,2-4,126,130,31,29,1,1,1852.4,24 04 29,"main_one_hit,second_miss"
115000014,2026/02/16,02 06 19 33 36 38,03,03 11 15 24 37 38,03,38,1,1,1,1,2,4-2,2-4,3-3,3-3,128,134,35,36,2,1,1894.4,24 37 15,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias"
115000015,2026/02/19,02 03 06 12 23 27,04,03 08 10 14 24 37,03,03,1,0,1,0,1,2-4,3-3,4-2,4-2,96,73,34,25,1,2,1909.4,24 03 10,"main_one_hit,second_miss,run_pattern_mismatch"
115000016,2026/02/23,04 10 13 24 31 35,02,03 19 22 24 31 38,02,24 31,2,1,3,1,4,3-3,3-3,2-4,3-3,137,117,35,31,1,1,1918.4,24 03 38,second_hit
115000017,2026/02/26,03 19 27 30 37 38,02,03 04 07 16 24 29,05,03,1,0,2,0,2,3-3,4-2,4-2,2-4,83,154,26,35,2,2,1934.4,04 24 03,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
115000018,2026/03/02,07 09 11 23 25 29,05,03 04 07 10 24 38,05,07,1,1,2,1,3,2-4,6-0,4-2,3-3,86,104,35,22,2,1,1971.4,03 10 24,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias,spread_gap_large"
115000019,2026/03/05,07 11 14 32 36 38,02,03 14 15 19 24 38,05,14 38,2,0,3,0,3,3-3,2-4,4-2,3-3,113,138,35,31,2,1,1927.4,14 03 15,"second_miss,run_pattern_mismatch,sum_gap_large"
115000020,2026/03/09,01 11 14 17 29 32,08,03 08 10 14 24 38,05,14,1,0,2,0,2,1-5,4-2,4-2,4-2,97,104,35,31,1,1,1979.4,24 08 10,"main_one_hit,second_miss,odd_even_bias"
115000021,2026/03/12,04 09 15 25 27 31,08,03 07 14 16 22 24,06,,0,0,0,0,0,2-4,5-1,4-2,3-3,86,111,21,27,1,1,1938.4,07 24 03,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
115000022,2026/03/16,14 26 28 31 32 34,01,07 14 24 27 29 38,08,14,1,0,1,0,1,3-3,1-5,2-4,1-5,139,165,31,20,1,2,1881.4,38 07 27,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
115000023,2026/03/19,09 13 14 18 31 34,01,15 16 22 35 37 38,02,,0,0,0,0,0,3-3,3-3,2-4,4-2,163,119,23,25,2,2,1832.4,16 37 22,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
115000024,2026/03/23,01 09 18 28 33 38,05,03 16 19 27 29 35,02,,0,0,1,0,1,5-1,3-3,3-3,3-3,129,127,32,37,1,2,1841.4,19 35 03,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000025,2026/03/26,13 14 22 28 35 38,05,03 08 14 16 22 38,05,14 22 38,3,1,3,1,4,1-5,2-4,4-2,2-4,101,150,35,25,1,2,1870.4,08 38 14,"main_good_hit,second_hit,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
115000026,2026/03/30,02 13 21 22 29 34,01,08 12 15 16 24 38,05,,0,0,0,0,0,1-5,3-3,4-2,2-4,113,121,30,32,2,2,1939.4,24 38 08,"main_zero_hit,second_miss,odd_even_bias,low_high_bias"
115000027,2026/04/02,05 15 17 23 25 34,06,03 19 26 29 35 38,02,,0,0,0,0,0,4-2,5-1,2-4,3-3,150,119,35,29,1,1,1867.4,38 19 03,"main_zero_hit,second_miss,sum_gap_large"
115000028,2026/04/06,05 08 22 27 35 38,04,01 15 22 24 29 38,07,22 38,2,0,2,0,2,3-3,3-3,2-4,2-4,129,135,37,33,2,1,1879.4,24 38 29,"second_miss,run_pattern_mismatch"
115000029,2026/04/09,04 09 13 27 29 34,03,04 08 14 16 24 26,02,04,1,0,1,0,1,0-6,4-2,4-2,3-3,92,116,22,30,1,1,1942.4,24 08 14,"main_one_hit,second_miss,odd_even_bias"
115000030,2026/04/13,03 10 11 16 19 24,05,03 04 07 14 16 29,03,03 16,2,0,2,0,2,3-3,3-3,5-1,5-1,73,83,26,21,2,2,1861.4,14 03 07,second_miss
115000031,2026/04/16,04 11 16 22 30 38,06,03 04 10 14 24 36,05,04,1,0,2,0,2,1-5,1-5,4-2,3-3,91,121,33,34,2,1,2042.4,24 03 04,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large"
115000032,2026/04/20,07 13 19 34 35 37,08,01 03 04 10 24 38,07,,0,0,0,0,0,2-4,5-1,4-2,3-3,80,145,37,30,2,2,2008.4,24 03 10,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
115000033,2026/04/23,10 14 15 16 27 33,05,04 08 11 15 24 29,08,15,1,0,1,0,1,3-3,3-3,4-2,4-2,91,115,25,23,1,3,1890.4,29 11 04,"main_one_hit,second_miss,run_pattern_mismatch"
115000034,2026/04/27,06 08 27 33 35 38,02,03 04 07 14 24 37,05,,0,0,0,0,0,3-3,3-3,4-2,2-4,89,147,34,32,2,1,1962.4,24 04 03,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000035,2026/04/30,01 04 13 19 27 30,08,03 04 08 10 22 24,05,04,1,0,1,0,1,1-5,4-2,4-2,4-2,71,94,21,29,2,1,1964.4,24 08 10,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
