target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000053,2025/07/03,11 14 20 27 30 38,06,10 13 15 24 27 28,07,27,1,0,2,1,3,3-3,2-4,3-3,2-4,117,140,18,27,2,1,0.0,,"main_one_hit,second_miss,run_pattern_mismatch"
114000054,2025/07/07,07 09 14 23 37 38,03,12 23 24 27 34 37,07,23 37,2,0,2,0,2,3-3,4-2,1-5,3-3,157,128,25,31,2,2,0.0,,"second_miss,low_high_bias,sum_gap_large"
114000055,2025/07/10,01 02 07 14 28 31,02,06 13 16 24 35 37,06,,0,0,2,1,2,3-3,3-3,3-3,4-2,131,83,31,30,1,2,0.0,,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large"
114000056,2025/07/14,03 06 19 22 37 38,04,01 05 13 18 22 23,04,22,1,1,2,1,2,4-2,3-3,4-2,3-3,82,125,22,35,2,2,0.0,,"main_one_hit,second_hit,sum_gap_large,spread_gap_large"
114000057,2025/07/17,01 04 06 21 25 28,02,02 03 15 27 33 34,06,,0,0,1,1,2,4-2,3-3,3-3,3-3,114,85,32,27,2,1,0.0,,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large"
114000058,2025/07/21,10 18 20 24 36 38,04,02 05 06 11 19 37,07,,0,0,2,0,2,4-2,0-6,5-1,2-4,80,146,35,28,2,1,0.0,,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000059,2025/07/24,03 04 07 10 33 38,05,06 11 16 19 20 27,06,,0,0,3,0,3,3-3,3-3,4-2,4-2,99,95,21,35,2,2,0.0,,"main_zero_hit,second_miss,spread_gap_large"
114000060,2025/07/28,12 16 18 22 24 36,05,14 18 20 21 33 36,03,18 36,2,0,2,1,2,2-4,0-6,2-4,3-3,142,128,22,24,2,1,0.0,,"second_miss,run_pattern_mismatch,odd_even_bias"
114000061,2025/07/31,04 09 18 20 29 31,03,15 19 25 28 31 34,04,31,1,0,2,0,2,4-2,3-3,2-4,3-3,152,111,19,27,1,1,0.0,,"main_one_hit,second_miss,sum_gap_large"
114000062,2025/08/04,15 16 22 27 30 32,01,11 12 17 23 37 38,06,,0,0,2,0,2,4-2,2-4,3-3,2-4,138,142,27,17,2,2,0.0,,"main_zero_hit,second_miss,odd_even_bias,spread_gap_large"
114000063,2025/08/07,02 04 07 08 18 25,07,17 21 25 27 28 32,06,25,1,0,2,0,2,4-2,2-4,1-5,5-1,150,64,15,23,2,2,0.0,,"main_one_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
