target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
115000011,2026/02/05,07 22 28 34 36 37,07,11 17 20 32 34 35,04,34,1,0,2,0,2,3-3,2-4,2-4,1-5,149,164,24,30,2,2,53.0,11 32 20,"main_one_hit,second_miss"
115000012,2026/02/09,13 14 16 33 34 37,02,11 17 20 32 34 37,04,34 37,2,0,3,0,3,3-3,3-3,2-4,3-3,151,147,26,24,1,2,53.0,34 11 20,"second_miss,run_pattern_mismatch"
115000013,2026/02/12,06 10 22 25 32 35,03,11 14 17 32 34 37,02,32,1,0,1,0,1,3-3,2-4,3-3,2-4,145,130,26,29,1,1,53.0,34 37 32,"main_one_hit,second_miss"
115000014,2026/02/16,02 06 19 33 36 38,03,07 11 32 34 35 37,04,,0,0,0,0,0,4-2,2-4,2-4,3-3,156,134,30,36,2,1,53.0,34 32 37,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000015,2026/02/19,02 03 06 12 23 27,04,06 07 11 32 34 37,05,06,1,0,1,0,1,3-3,3-3,3-3,4-2,127,73,31,25,2,2,51.0,34 37 32,"main_one_hit,second_miss,sum_gap_large"
115000016,2026/02/23,04 10 13 24 31 35,02,06 07 11 32 34 37,04,,0,0,0,0,0,3-3,3-3,3-3,3-3,127,117,31,31,2,1,50.0,34 32 37,"main_zero_hit,second_miss,run_pattern_mismatch"
115000017,2026/02/26,03 19 27 30 37 38,02,06 07 32 34 35 37,02,37,1,1,1,1,2,3-3,4-2,2-4,2-4,151,154,31,35,2,2,49.0,34 37 32,"main_one_hit,second_hit"
115000018,2026/03/02,07 09 11 23 25 29,05,03 06 32 34 35 37,02,,0,0,1,0,1,3-3,6-0,2-4,3-3,147,104,34,22,2,1,50.0,34 37 32,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
115000019,2026/03/05,07 11 14 32 36 38,02,03 07 32 34 35 37,02,07 32,2,1,3,1,4,4-2,2-4,2-4,3-3,148,138,34,31,2,1,50.0,37 34 07,"second_hit,run_pattern_mismatch,odd_even_bias"
115000020,2026/03/09,01 11 14 17 29 32,08,07 11 14 32 34 37,02,11 14 32,3,0,3,0,3,3-3,4-2,3-3,4-2,135,104,30,31,1,1,54.0,37 07 32,"main_good_hit,second_miss,sum_gap_large"
115000021,2026/03/12,04 09 15 25 27 31,08,07 11 14 32 34 37,02,,0,0,1,0,1,3-3,5-1,3-3,3-3,135,111,30,27,1,1,55.0,32 37 11,"main_zero_hit,second_miss,odd_even_bias"
115000022,2026/03/16,14 26 28 31 32 34,01,07 11 14 25 32 37,02,14 32,2,0,3,0,3,4-2,1-5,3-3,1-5,126,165,30,20,1,2,54.0,32 37 11,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
115000023,2026/03/19,09 13 14 18 31 34,01,11 14 25 32 34 37,05,14 34,2,0,2,0,2,3-3,3-3,2-4,4-2,153,119,26,25,1,2,54.0,14 32 34,"second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000024,2026/03/23,01 09 18 28 33 38,05,11 14 25 32 34 37,05,,0,1,1,1,2,3-3,3-3,2-4,3-3,153,127,26,37,1,2,56.0,14 32 34,"main_zero_hit,second_hit,run_pattern_mismatch,sum_gap_large,spread_gap_large"
115000025,2026/03/26,13 14 22 28 35 38,05,11 14 25 31 32 34,05,14,1,1,2,1,3,3-3,2-4,2-4,2-4,147,150,23,25,2,2,54.0,14 34 32,"main_one_hit,second_hit"
115000026,2026/03/30,02 13 21 22 29 34,01,14 25 31 32 34 38,05,34,1,0,1,0,1,2-4,3-3,1-5,2-4,174,121,24,32,2,2,57.0,14 34 32,"main_one_hit,second_miss,sum_gap_large"
115000027,2026/04/02,05 15 17 23 25 34,06,09 14 25 32 34 38,05,25 34,2,0,2,0,2,2-4,5-1,2-4,3-3,152,119,29,29,1,1,55.0,14 34 38,"second_miss,odd_even_bias,sum_gap_large"
115000028,2026/04/06,05 08 22 27 35 38,04,09 14 25 32 34 38,05,38,1,0,2,0,2,2-4,3-3,2-4,2-4,152,135,29,33,1,1,56.0,14 34 25,"main_one_hit,second_miss"
115000029,2026/04/09,04 09 13 27 29 34,03,14 22 25 34 35 38,05,34,1,0,2,0,2,2-4,4-2,1-5,3-3,168,116,24,30,2,1,56.0,14 34 38,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000030,2026/04/13,03 10 11 16 19 24,05,09 14 25 27 34 38,05,,0,1,1,1,2,3-3,3-3,2-4,5-1,147,83,29,21,1,2,56.0,14 34 38,"main_zero_hit,second_hit,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000031,2026/04/16,04 11 16 22 30 38,06,14 25 27 34 35 38,05,38,1,0,1,0,1,3-3,1-5,1-5,3-3,173,121,24,34,2,1,57.0,14 34 38,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
115000032,2026/04/20,07 13 19 34 35 37,08,11 14 25 27 34 38,05,34,1,0,1,0,1,3-3,5-1,2-4,3-3,149,145,27,30,1,2,57.0,38 14 34,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000033,2026/04/23,10 14 15 16 27 33,05,13 14 27 34 35 38,05,14 27,2,1,3,1,4,3-3,3-3,2-4,4-2,161,115,25,23,2,3,56.0,38 34 14,"second_hit,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000034,2026/04/27,06 08 27 33 35 38,02,10 13 14 27 34 38,05,27 38,2,0,3,0,3,2-4,3-3,3-3,2-4,136,147,28,32,2,1,58.0,38 14 34,"second_miss,run_pattern_mismatch"
115000035,2026/04/30,01 04 13 19 27 30,08,10 14 27 34 35 38,05,27,1,0,2,0,2,2-4,4-2,2-4,4-2,158,94,28,29,2,1,59.0,38 34 14,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
